Serial_No,Date,Season,Time_of_Day,Origin,Destination,Cargo_Type,Shipping_Mode,Weather,Special_Handling,Freight_Volume,Price_per_Unit,Delivery_Status
26198,2016-08-14 11:05:19.791197920,Monsoon,Morning,West,West,FMCG,Sea,Clear,Fragile,83.21,166.25,On Time
26199,2016-08-14 11:57:54.286742864,Monsoon,Morning,North,North,Agriculture,Road,Clear,Perishable,81.76,241.66,On Time
26200,2016-08-14 12:50:28.782287824,Monsoon,Afternoon,Central,West,FMCG,Sea,Clear,None,72.73,189.88,On Time
26201,2016-08-14 13:43:03.277832784,Monsoon,Afternoon,East,South,Electronics,Sea,Clear,Hazardous,76.36,180.97,Delayed
26202,2016-08-14 14:35:37.773377744,Monsoon,Afternoon,West,Central,FMCG,Sea,Clear,Perishable,89.09,155.4,On Time
26203,2016-08-14 15:28:12.268922688,Monsoon,Afternoon,North,Central,Electronics,Rail,Clear,None,73.97,213.42,On Time
26204,2016-08-14 16:20:46.764467648,Monsoon,Afternoon,Central,Central,Electronics,Air,Clear,Fragile,114.64,259.43,On Time
26205,2016-08-14 17:13:21.260012608,Monsoon,Evening,East,East,Pharma,Air,Clear,Fragile,81.38,364.17,On Time
26206,2016-08-14 18:05:55.755557552,Monsoon,Evening,Central,East,Agriculture,Road,Fog,None,72.87,270.75,Delayed
26207,2016-08-14 18:58:30.251102512,Monsoon,Evening,East,South,FMCG,Sea,Storm,Fragile,79.69,173.5,Cancelled
26208,2016-08-14 19:51:04.746647472,Monsoon,Evening,North,West,FMCG,Rail,Clear,Perishable,124.78,127.21,On Time
26209,2016-08-14 20:43:39.242192432,Monsoon,Evening,Central,East,Pharma,Air,Clear,Hazardous,77.74,381.0,Delayed
26210,2016-08-14 21:36:13.737737376,Monsoon,Night,Central,South,Pharma,Rail,Clear,Perishable,83.43,189.51,On Time
26211,2016-08-14 22:28:48.233282336,Monsoon,Night,South,Central,Automobile,Road,Clear,None,63.33,310.9,On Time
26212,2016-08-14 23:21:22.728827296,Monsoon,Night,West,Central,Automobile,Sea,Clear,Hazardous,71.54,193.0,On Time
26213,2016-08-15 00:13:57.224372240,Monsoon,Night,Central,North,Electronics,Road,Clear,Fragile,111.78,177.34,On Time
26214,2016-08-15 01:06:31.719917200,Monsoon,Night,East,West,FMCG,Sea,Clear,Hazardous,94.9,145.99,On Time
26215,2016-08-15 01:59:06.215462160,Monsoon,Night,West,South,Automobile,Sea,Clear,Perishable,94.93,145.94,On Time
26216,2016-08-15 02:51:40.711007120,Monsoon,Night,North,South,Pharma,Rail,Rain,Hazardous,71.79,219.81,On Time
26217,2016-08-15 03:44:15.206552064,Monsoon,Night,West,Central,Automobile,Sea,Fog,Fragile,55.97,245.74,Delayed
26218,2016-08-15 04:36:49.702097024,Monsoon,Night,South,East,Agriculture,Rail,Clear,Perishable,108.77,145.76,On Time
26219,2016-08-15 05:29:24.197641984,Monsoon,Morning,North,East,Automobile,Sea,Clear,Hazardous,52.4,262.17,Delayed
26220,2016-08-15 06:21:58.693186928,Monsoon,Morning,Central,South,Electronics,Rail,Clear,Perishable,112.99,140.36,On Time
26221,2016-08-15 07:14:33.188731888,Monsoon,Morning,North,East,Electronics,Rail,Clear,None,66.57,236.79,On Time
26222,2016-08-15 08:07:07.684276848,Monsoon,Morning,North,South,Automobile,Air,Storm,Perishable,42.27,693.32,Delayed
26223,2016-08-15 08:59:42.179821808,Monsoon,Morning,South,North,FMCG,Rail,Clear,Fragile,99.88,158.6,On Time
26224,2016-08-15 09:52:16.675366752,Monsoon,Morning,East,East,Electronics,Road,Storm,Hazardous,50.14,391.08,Delayed
26225,2016-08-15 10:44:51.170911712,Monsoon,Morning,North,North,FMCG,Road,Clear,Perishable,88.54,223.36,Delayed
26226,2016-08-15 11:37:25.666456672,Monsoon,Morning,East,West,Automobile,Air,Rain,None,34.92,835.19,On Time
26227,2016-08-15 12:30:00.162001632,Monsoon,Afternoon,West,North,FMCG,Rail,Clear,None,96.98,163.3,On Time
26228,2016-08-15 13:22:34.657546576,Monsoon,Afternoon,South,West,Pharma,Road,Clear,Fragile,77.48,254.84,On Time
26229,2016-08-15 14:15:09.153091536,Monsoon,Afternoon,Central,North,FMCG,Rail,Clear,Perishable,90.43,175.0,Cancelled
26230,2016-08-15 15:07:43.648636496,Monsoon,Afternoon,North,East,Pharma,Air,Clear,Perishable,83.94,353.19,On Time
26231,2016-08-15 16:00:18.144181440,Monsoon,Afternoon,East,North,Pharma,Air,Clear,None,71.06,416.32,On Time
26232,2016-08-15 16:52:52.639726400,Monsoon,Afternoon,North,East,Pharma,Air,Clear,None,75.77,390.78,On Time
26233,2016-08-15 17:45:27.135271360,Monsoon,Evening,South,South,Electronics,Rail,Clear,Hazardous,122.11,129.97,On Time
26234,2016-08-15 18:38:01.630816320,Monsoon,Evening,Central,South,Agriculture,Rail,Clear,None,73.24,215.52,Delayed
26235,2016-08-15 19:30:36.126361264,Monsoon,Evening,West,West,FMCG,Sea,Fog,Perishable,65.98,209.02,Cancelled
26236,2016-08-15 20:23:10.621906224,Monsoon,Evening,West,Central,Agriculture,Rail,Clear,Perishable,109.95,144.21,On Time
26237,2016-08-15 21:15:45.117451184,Monsoon,Night,East,North,FMCG,Sea,Clear,None,88.28,156.81,On Time
26238,2016-08-15 22:08:19.612996128,Monsoon,Night,West,East,FMCG,Road,Clear,Fragile,75.95,259.91,On Time
26239,2016-08-15 23:00:54.108541088,Monsoon,Night,East,Central,FMCG,Rail,Rain,Perishable,39.52,394.87,On Time
26240,2016-08-15 23:53:28.604086048,Monsoon,Night,Central,South,Electronics,Air,Clear,Fragile,62.8,470.22,On Time
26241,2016-08-16 00:46:03.099631008,Monsoon,Night,North,East,Agriculture,Sea,Clear,None,109.69,126.48,On Time
26242,2016-08-16 01:38:37.595175952,Monsoon,Night,South,East,Automobile,Rail,Rain,Fragile,43.68,358.1,Delayed
26243,2016-08-16 02:31:12.090720912,Monsoon,Night,Central,Central,Pharma,Air,Clear,Perishable,72.4,408.72,On Time
26244,2016-08-16 03:23:46.586265872,Monsoon,Night,Central,East,Automobile,Road,Clear,Hazardous,77.18,255.82,Delayed
26245,2016-08-16 04:16:21.081810816,Monsoon,Night,West,Central,Electronics,Road,Storm,Perishable,78.7,250.94,Delayed
26246,2016-08-16 05:08:55.577355776,Monsoon,Morning,West,North,Automobile,Rail,Clear,None,67.9,232.22,On Time
26247,2016-08-16 06:01:30.072900736,Monsoon,Morning,South,North,Pharma,Road,Clear,Perishable,68.31,288.56,On Time
26248,2016-08-16 06:54:04.568445696,Monsoon,Morning,North,North,Agriculture,Sea,Clear,Fragile,84.1,164.51,On Time
26249,2016-08-16 07:46:39.063990640,Monsoon,Morning,Central,South,FMCG,Road,Fog,Hazardous,77.43,255.0,Cancelled
26250,2016-08-16 08:39:13.559535600,Monsoon,Morning,West,Central,Pharma,Road,Rain,Perishable,55.22,355.75,On Time
26251,2016-08-16 09:31:48.055080560,Monsoon,Morning,Central,North,Electronics,Road,Clear,Perishable,92.05,214.94,Delayed
26252,2016-08-16 10:24:22.550625504,Monsoon,Morning,North,South,Automobile,Road,Fog,None,63.75,308.88,Delayed
26253,2016-08-16 11:16:57.046170464,Monsoon,Morning,East,South,Agriculture,Rail,Clear,Perishable,86.0,183.91,On Time
26254,2016-08-16 12:09:31.541715424,Monsoon,Afternoon,North,South,FMCG,Rail,Clear,Perishable,104.23,152.05,On Time
26255,2016-08-16 13:02:06.037260384,Monsoon,Afternoon,Central,North,Pharma,Air,Rain,Fragile,63.58,464.54,Delayed
26256,2016-08-16 13:54:40.532805328,Monsoon,Afternoon,Central,East,Agriculture,Air,Clear,None,106.71,278.53,On Time
26257,2016-08-16 14:47:15.028350288,Monsoon,Afternoon,South,North,Agriculture,Air,Rain,None,71.48,413.91,On Time
26258,2016-08-16 15:39:49.523895248,Monsoon,Afternoon,Central,South,Pharma,Sea,Rain,Perishable,44.85,305.34,On Time
26259,2016-08-16 16:32:24.019440192,Monsoon,Afternoon,West,West,FMCG,Sea,Clear,Perishable,61.08,225.52,On Time
26260,2016-08-16 17:24:58.514985152,Monsoon,Evening,South,North,Electronics,Sea,Clear,Hazardous,97.24,142.51,On Time
26261,2016-08-16 18:17:33.010530112,Monsoon,Evening,Central,North,Automobile,Sea,Rain,None,68.51,201.41,Delayed
26262,2016-08-16 19:10:07.506075072,Monsoon,Evening,North,East,Pharma,Air,Storm,Perishable,70.47,419.76,Cancelled
26263,2016-08-16 20:02:42.001620016,Monsoon,Evening,Central,North,Agriculture,Road,Fog,Fragile,81.99,240.99,Delayed
26264,2016-08-16 20:55:16.497164976,Monsoon,Evening,North,North,Agriculture,Air,Clear,None,66.57,443.98,On Time
26265,2016-08-16 21:47:50.992709936,Monsoon,Night,North,South,Agriculture,Road,Clear,Perishable,108.67,182.37,Delayed
26266,2016-08-16 22:40:25.488254880,Monsoon,Night,Central,South,Pharma,Road,Storm,Fragile,40.64,480.31,Delayed
26267,2016-08-16 23:32:59.983799840,Monsoon,Night,North,West,FMCG,Air,Clear,Fragile,47.8,614.75,On Time
26268,2016-08-17 00:25:34.479344800,Monsoon,Night,East,South,Agriculture,Sea,Clear,Perishable,107.58,128.94,On Time
26269,2016-08-17 01:18:08.974889760,Monsoon,Night,South,Central,FMCG,Sea,Fog,Perishable,82.31,168.05,Delayed
26270,2016-08-17 02:10:43.470434704,Monsoon,Night,Central,East,FMCG,Sea,Rain,Perishable,69.36,198.98,On Time
26271,2016-08-17 03:03:17.965979664,Monsoon,Night,East,North,Agriculture,Road,Clear,None,99.13,199.74,On Time
26272,2016-08-17 03:55:52.461524624,Monsoon,Night,North,North,Automobile,Air,Clear,Hazardous,56.07,525.67,Delayed
26273,2016-08-17 04:48:26.957069568,Monsoon,Night,North,Central,FMCG,Road,Clear,Fragile,117.18,169.23,Delayed
26274,2016-08-17 05:41:01.452614528,Monsoon,Morning,South,East,Automobile,Rail,Rain,Fragile,68.25,231.05,Delayed
26275,2016-08-17 06:33:35.948159488,Monsoon,Morning,East,Central,FMCG,Air,Storm,Fragile,76.47,387.25,Delayed
26276,2016-08-17 07:26:10.443704448,Monsoon,Morning,East,Central,Electronics,Road,Clear,Fragile,100.69,196.68,Delayed
26277,2016-08-17 08:18:44.939249392,Monsoon,Morning,Central,East,Pharma,Sea,Fog,Hazardous,51.97,264.3,Delayed
26278,2016-08-17 09:11:19.434794352,Monsoon,Morning,North,North,Automobile,Air,Fog,Perishable,46.25,634.92,Cancelled
26279,2016-08-17 10:03:53.930339312,Monsoon,Morning,West,North,FMCG,Road,Rain,None,75.12,262.74,On Time
26280,2016-08-17 10:56:28.425884256,Monsoon,Morning,Central,East,Pharma,Road,Rain,Hazardous,60.26,326.48,On Time
26281,2016-08-17 11:49:02.921429216,Monsoon,Morning,Central,South,Agriculture,Air,Clear,Perishable,63.99,461.61,On Time
26282,2016-08-17 12:41:37.416974176,Monsoon,Afternoon,Central,East,Automobile,Air,Clear,None,74.66,396.51,On Time
26283,2016-08-17 13:34:11.912519136,Monsoon,Afternoon,South,Central,Automobile,Road,Clear,Hazardous,47.13,415.54,Delayed
26284,2016-08-17 14:26:46.408064080,Monsoon,Afternoon,South,Central,Pharma,Sea,Rain,Fragile,39.42,346.36,Delayed
26285,2016-08-17 15:19:20.903609040,Monsoon,Afternoon,Central,North,FMCG,Rail,Fog,Hazardous,103.41,153.24,Delayed
26286,2016-08-17 16:11:55.399154000,Monsoon,Afternoon,West,East,Electronics,Rail,Clear,Perishable,104.89,151.1,On Time
26287,2016-08-17 17:04:29.894698944,Monsoon,Evening,East,East,Automobile,Air,Fog,Hazardous,29.06,998.0,Delayed
26288,2016-08-17 17:57:04.390243904,Monsoon,Evening,East,North,Agriculture,Air,Clear,Hazardous,90.51,327.83,On Time
26289,2016-08-17 18:49:38.885788864,Monsoon,Evening,North,Central,Electronics,Air,Rain,None,82.34,359.97,Delayed
26290,2016-08-17 19:42:13.381333824,Monsoon,Evening,East,North,Electronics,Sea,Rain,None,72.76,189.8,Delayed
26291,2016-08-17 20:34:47.876878768,Monsoon,Evening,East,West,Automobile,Road,Clear,Hazardous,55.66,352.98,On Time
26292,2016-08-17 21:27:22.372423728,Monsoon,Night,West,Central,Electronics,Air,Clear,Fragile,125.23,237.66,Delayed
26293,2016-08-17 22:19:56.867968688,Monsoon,Night,East,East,Pharma,Sea,Clear,Fragile,77.78,177.71,On Time
26294,2016-08-17 23:12:31.363513632,Monsoon,Night,West,South,FMCG,Rail,Clear,Perishable,88.31,179.15,On Time
26295,2016-08-18 00:05:05.859058592,Monsoon,Night,South,South,FMCG,Sea,Clear,Hazardous,89.11,155.37,On Time
26296,2016-08-18 00:57:40.354603552,Monsoon,Night,West,South,Electronics,Road,Clear,None,122.9,161.42,On Time
26297,2016-08-18 01:50:14.850148512,Monsoon,Night,South,East,FMCG,Sea,Clear,None,127.61,108.86,On Time
26298,2016-08-18 02:42:49.345693456,Monsoon,Night,West,East,Automobile,Rail,Clear,None,76.57,206.27,On Time
26299,2016-08-18 03:35:23.841238416,Monsoon,Night,Central,South,Automobile,Air,Clear,Perishable,65.6,450.45,On Time
26300,2016-08-18 04:27:58.336783376,Monsoon,Night,South,South,Automobile,Air,Storm,Perishable,46.16,636.13,Delayed
26301,2016-08-18 05:20:32.832328320,Monsoon,Morning,South,West,Agriculture,Rail,Fog,Fragile,68.66,229.69,Delayed
26302,2016-08-18 06:13:07.327873280,Monsoon,Morning,East,North,Agriculture,Sea,Clear,Fragile,95.8,144.63,On Time
26303,2016-08-18 07:05:41.823418240,Monsoon,Morning,South,South,Electronics,Air,Clear,Fragile,106.1,280.11,On Time
26304,2016-08-18 07:58:16.318963200,Monsoon,Morning,West,South,Automobile,Road,Rain,Fragile,45.42,430.85,On Time
26305,2016-08-18 08:50:50.814508144,Monsoon,Morning,Central,West,Automobile,Air,Rain,Hazardous,48.25,609.14,On Time
26306,2016-08-18 09:43:25.310053104,Monsoon,Morning,Central,North,Pharma,Road,Clear,None,93.87,210.81,Cancelled
26307,2016-08-18 10:35:59.805598064,Monsoon,Morning,East,South,Automobile,Road,Clear,Perishable,50.48,388.5,On Time
26308,2016-08-18 11:28:34.301143008,Monsoon,Morning,West,West,Electronics,Rail,Rain,Hazardous,68.87,229.0,On Time
26309,2016-08-18 12:21:08.796687968,Monsoon,Afternoon,West,Central,Electronics,Air,Rain,Fragile,64.06,461.11,On Time
26310,2016-08-18 13:13:43.292232928,Monsoon,Afternoon,North,North,Pharma,Air,Clear,None,60.15,490.6,On Time
26311,2016-08-18 14:06:17.787777888,Monsoon,Afternoon,South,North,Automobile,Road,Rain,Fragile,48.54,403.71,On Time
26312,2016-08-18 14:58:52.283322832,Monsoon,Afternoon,East,Central,FMCG,Sea,Clear,Fragile,81.63,169.43,On Time
26313,2016-08-18 15:51:26.778867792,Monsoon,Afternoon,Central,South,Pharma,Rail,Rain,Perishable,64.95,242.61,On Time
26314,2016-08-18 16:44:01.274412752,Monsoon,Afternoon,North,Central,FMCG,Road,Rain,None,78.45,251.73,On Time
26315,2016-08-18 17:36:35.769957696,Monsoon,Evening,West,South,Agriculture,Road,Clear,None,58.27,337.44,On Time
26316,2016-08-18 18:29:10.265502656,Monsoon,Evening,South,South,FMCG,Road,Clear,None,68.36,288.35,Delayed
26317,2016-08-18 19:21:44.761047616,Monsoon,Evening,Central,West,Automobile,Road,Clear,Fragile,101.67,194.8,On Time
26318,2016-08-18 20:14:19.256592576,Monsoon,Evening,North,West,Electronics,Rail,Clear,Hazardous,109.26,145.11,Delayed
26319,2016-08-18 21:06:53.752137520,Monsoon,Night,West,East,FMCG,Sea,Clear,Fragile,81.48,169.74,On Time
26320,2016-08-18 21:59:28.247682480,Monsoon,Night,Central,North,Automobile,Air,Clear,Fragile,84.2,352.11,Cancelled
26321,2016-08-18 22:52:02.743227440,Monsoon,Night,Central,West,Agriculture,Rail,Rain,None,53.21,295.15,Delayed
26322,2016-08-18 23:44:37.238772384,Monsoon,Night,West,North,Agriculture,Air,Rain,Fragile,76.02,389.51,On Time
26323,2016-08-19 00:37:11.734317344,Monsoon,Night,West,South,Agriculture,Road,Clear,Hazardous,105.74,187.37,On Time
26324,2016-08-19 01:29:46.229862304,Monsoon,Night,East,West,Agriculture,Sea,Rain,Hazardous,80.72,171.32,On Time
26325,2016-08-19 02:22:20.725407264,Monsoon,Night,Central,East,FMCG,Air,Rain,Perishable,84.49,350.92,On Time
26326,2016-08-19 03:14:55.220952208,Monsoon,Night,West,South,Pharma,Air,Clear,Perishable,53.75,547.95,On Time
26327,2016-08-19 04:07:29.716497168,Monsoon,Night,North,Central,Pharma,Air,Clear,Hazardous,89.45,331.67,On Time
26328,2016-08-19 05:00:04.212042128,Monsoon,Morning,South,West,Electronics,Rail,Clear,None,127.88,124.15,On Time
26329,2016-08-19 05:52:38.707587072,Monsoon,Morning,East,North,FMCG,Road,Rain,Fragile,77.58,254.52,On Time
26330,2016-08-19 06:45:13.203132032,Monsoon,Morning,West,East,Agriculture,Road,Clear,None,82.65,239.09,On Time
26331,2016-08-19 07:37:47.698676992,Monsoon,Morning,South,East,Automobile,Road,Fog,None,79.64,248.02,Cancelled
26332,2016-08-19 08:30:22.194221952,Monsoon,Morning,East,East,Pharma,Sea,Clear,Hazardous,75.35,183.37,Delayed
26333,2016-08-19 09:22:56.689766896,Monsoon,Morning,Central,South,Electronics,Road,Clear,Perishable,115.96,171.0,On Time
26334,2016-08-19 10:15:31.185311856,Monsoon,Morning,South,South,Pharma,Sea,Clear,Perishable,96.97,142.9,On Time
26335,2016-08-19 11:08:05.680856816,Monsoon,Morning,East,West,Electronics,Rail,Rain,Perishable,100.76,157.23,On Time
26336,2016-08-19 12:00:40.176401776,Monsoon,Afternoon,West,North,FMCG,Road,Storm,Perishable,42.28,462.11,Delayed
26337,2016-08-19 12:53:14.671946720,Monsoon,Afternoon,West,Central,Automobile,Air,Rain,Perishable,68.24,433.28,On Time
26338,2016-08-19 13:45:49.167491680,Monsoon,Afternoon,East,South,Electronics,Rail,Clear,Hazardous,94.45,167.63,On Time
26339,2016-08-19 14:38:23.663036640,Monsoon,Afternoon,Central,East,Pharma,Air,Clear,Perishable,73.05,405.13,On Time
26340,2016-08-19 15:30:58.158581584,Monsoon,Afternoon,East,East,Agriculture,Air,Rain,Hazardous,82.38,359.8,On Time
26341,2016-08-19 16:23:32.654126544,Monsoon,Afternoon,North,North,Automobile,Sea,Fog,Fragile,68.87,200.37,Delayed
26342,2016-08-19 17:16:07.149671504,Monsoon,Evening,East,Central,Agriculture,Rail,Rain,Hazardous,110.42,143.6,Delayed
26343,2016-08-19 18:08:41.645216464,Monsoon,Evening,East,West,Agriculture,Road,Clear,Perishable,96.74,204.62,On Time
26344,2016-08-19 19:01:16.140761408,Monsoon,Evening,West,West,Automobile,Rail,Clear,Perishable,65.97,238.91,On Time
26345,2016-08-19 19:53:50.636306368,Monsoon,Evening,Central,South,FMCG,Air,Clear,None,87.23,340.02,On Time
26346,2016-08-19 20:46:25.131851328,Monsoon,Evening,East,Central,FMCG,Road,Clear,Hazardous,97.62,202.8,On Time
26347,2016-08-19 21:38:59.627396272,Monsoon,Night,South,South,Pharma,Sea,Clear,None,87.98,157.34,On Time
26348,2016-08-19 22:31:34.122941232,Monsoon,Night,West,South,FMCG,Air,Rain,Hazardous,101.3,293.26,On Time
26349,2016-08-19 23:24:08.618486192,Monsoon,Night,West,North,FMCG,Road,Fog,Perishable,87.05,227.14,Delayed
26350,2016-08-20 00:16:43.114031152,Monsoon,Night,East,West,Agriculture,Air,Clear,Perishable,108.25,274.6,On Time
26351,2016-08-20 01:09:17.609576096,Monsoon,Night,South,East,Pharma,Sea,Clear,Fragile,105.2,131.83,On Time
26352,2016-08-20 02:01:52.105121056,Monsoon,Night,East,North,Electronics,Road,Storm,Fragile,54.69,359.13,Delayed
26353,2016-08-20 02:54:26.600666016,Monsoon,Night,South,North,FMCG,Sea,Rain,Fragile,113.2,122.59,Delayed
26354,2016-08-20 03:47:01.096210960,Monsoon,Night,West,East,Agriculture,Sea,Fog,Hazardous,69.51,198.55,Delayed
26355,2016-08-20 04:39:35.591755920,Monsoon,Night,South,Central,Automobile,Rail,Fog,Perishable,70.3,224.4,Cancelled
26356,2016-08-20 05:32:10.087300880,Monsoon,Morning,East,East,Electronics,Sea,Storm,Perishable,77.17,179.1,Cancelled
26357,2016-08-20 06:24:44.582845840,Monsoon,Morning,North,East,Pharma,Road,Fog,Fragile,69.47,283.81,Cancelled
26358,2016-08-20 07:17:19.078390784,Monsoon,Morning,North,East,Automobile,Sea,Clear,None,83.32,166.03,On Time
26359,2016-08-20 08:09:53.573935744,Monsoon,Morning,South,East,Agriculture,Road,Clear,Perishable,113.26,175.04,On Time
26360,2016-08-20 09:02:28.069480704,Monsoon,Morning,East,West,Pharma,Road,Clear,Perishable,62.63,314.32,On Time
26361,2016-08-20 09:55:02.565025648,Monsoon,Morning,Central,West,Electronics,Rail,Clear,Hazardous,134.33,118.23,On Time
26362,2016-08-20 10:47:37.060570608,Monsoon,Morning,North,North,Pharma,Road,Clear,Fragile,55.34,354.99,On Time
26363,2016-08-20 11:40:11.556115568,Monsoon,Morning,West,North,Pharma,Air,Storm,Fragile,55.73,528.82,Delayed
26364,2016-08-20 12:32:46.051660528,Monsoon,Afternoon,East,Central,Electronics,Road,Clear,Fragile,70.69,278.98,On Time
26365,2016-08-20 13:25:20.547205472,Monsoon,Afternoon,East,East,Agriculture,Road,Clear,None,45.77,427.62,On Time
26366,2016-08-20 14:17:55.042750432,Monsoon,Afternoon,North,Central,Pharma,Road,Rain,Perishable,62.46,315.16,Delayed
26367,2016-08-20 15:10:29.538295392,Monsoon,Afternoon,Central,Central,FMCG,Road,Fog,Fragile,38.37,508.0,Delayed
26368,2016-08-20 16:03:04.033840336,Monsoon,Afternoon,West,Central,FMCG,Sea,Clear,None,109.48,126.72,On Time
26369,2016-08-20 16:55:38.529385296,Monsoon,Afternoon,Central,Central,Electronics,Road,Rain,Hazardous,111.6,177.62,On Time
26370,2016-08-20 17:48:13.024930256,Monsoon,Evening,West,West,Electronics,Air,Storm,Fragile,88.25,336.13,Delayed
26371,2016-08-20 18:40:47.520475216,Monsoon,Evening,North,East,Pharma,Rail,Clear,Perishable,96.93,163.38,On Time
26372,2016-08-20 19:33:22.016020160,Monsoon,Evening,East,North,FMCG,Rail,Storm,None,62.67,251.3,Delayed
26373,2016-08-20 20:25:56.511565120,Monsoon,Evening,West,South,Pharma,Sea,Clear,Perishable,76.66,180.27,Delayed
26374,2016-08-20 21:18:31.007110080,Monsoon,Night,East,West,Agriculture,Air,Clear,Fragile,95.55,310.72,On Time
26375,2016-08-20 22:11:05.502655024,Monsoon,Night,South,Central,FMCG,Rail,Clear,Fragile,118.04,134.41,On Time
26376,2016-08-20 23:03:39.998199984,Monsoon,Night,South,South,Agriculture,Road,Clear,Perishable,102.22,193.76,On Time
26377,2016-08-20 23:56:14.493744944,Monsoon,Night,North,East,Pharma,Air,Rain,Fragile,48.53,605.69,On Time
26378,2016-08-21 00:48:48.989289904,Monsoon,Night,North,East,Pharma,Air,Rain,Hazardous,61.61,479.16,On Time
26379,2016-08-21 01:41:23.484834848,Monsoon,Night,North,Central,Pharma,Road,Rain,Fragile,71.03,277.66,On Time
26380,2016-08-21 02:33:57.980379808,Monsoon,Night,South,West,Automobile,Sea,Clear,Perishable,59.98,229.58,On Time
26381,2016-08-21 03:26:32.475924768,Monsoon,Night,West,South,Pharma,Road,Clear,None,92.94,212.9,On Time
26382,2016-08-21 04:19:06.971469712,Monsoon,Night,Central,Central,FMCG,Air,Clear,Hazardous,99.31,299.07,On Time
26383,2016-08-21 05:11:41.467014672,Monsoon,Morning,North,South,Pharma,Rail,Storm,None,83.33,189.73,Cancelled
26384,2016-08-21 06:04:15.962559632,Monsoon,Morning,Central,West,Agriculture,Air,Clear,None,110.45,269.18,On Time
26385,2016-08-21 06:56:50.458104592,Monsoon,Morning,Central,North,Automobile,Sea,Fog,Fragile,86.32,160.33,Delayed
26386,2016-08-21 07:49:24.953649536,Monsoon,Morning,South,South,Pharma,Rail,Clear,Fragile,83.67,188.97,On Time
26387,2016-08-21 08:41:59.449194496,Monsoon,Morning,West,East,FMCG,Air,Clear,Fragile,44.89,653.74,On Time
26388,2016-08-21 09:34:33.944739456,Monsoon,Morning,South,South,FMCG,Air,Storm,Fragile,77.01,384.57,Delayed
26389,2016-08-21 10:27:08.440284400,Monsoon,Morning,North,South,Electronics,Rail,Clear,Fragile,112.36,141.14,Delayed
26390,2016-08-21 11:19:42.935829360,Monsoon,Morning,South,East,Pharma,Road,Clear,None,81.58,242.19,On Time
26391,2016-08-21 12:12:17.431374320,Monsoon,Afternoon,South,East,FMCG,Sea,Clear,None,98.96,140.06,On Time
26392,2016-08-21 13:04:51.926919280,Monsoon,Afternoon,South,South,Automobile,Road,Rain,Fragile,57.23,343.47,On Time
26393,2016-08-21 13:57:26.422464224,Monsoon,Afternoon,North,South,Pharma,Road,Clear,None,74.8,263.85,On Time
26394,2016-08-21 14:50:00.918009184,Monsoon,Afternoon,North,South,Pharma,Road,Storm,Hazardous,64.64,304.69,Delayed
26395,2016-08-21 15:42:35.413554144,Monsoon,Afternoon,South,West,Agriculture,Sea,Clear,Perishable,119.28,116.4,On Time
26396,2016-08-21 16:35:09.909099088,Monsoon,Afternoon,South,East,FMCG,Air,Rain,Hazardous,79.03,374.86,On Time
26397,2016-08-21 17:27:44.404644048,Monsoon,Evening,Central,Central,Agriculture,Road,Clear,None,97.03,204.02,Delayed
26398,2016-08-21 18:20:18.900189008,Monsoon,Evening,West,East,FMCG,Rail,Clear,Hazardous,70.47,223.87,Delayed
26399,2016-08-21 19:12:53.395733968,Monsoon,Evening,Central,West,Electronics,Rail,Rain,Hazardous,69.47,227.05,On Time
26400,2016-08-21 20:05:27.891278912,Monsoon,Evening,West,South,FMCG,Rail,Storm,None,59.49,264.51,Delayed
26401,2016-08-21 20:58:02.386823872,Monsoon,Evening,West,South,Electronics,Rail,Clear,Fragile,82.48,191.66,On Time
26402,2016-08-21 21:50:36.882368832,Monsoon,Night,South,West,Automobile,Air,Clear,Fragile,84.59,350.51,On Time
26403,2016-08-21 22:43:11.377913776,Monsoon,Night,Central,North,Pharma,Sea,Clear,Perishable,74.78,184.75,On Time
26404,2016-08-21 23:35:45.873458736,Monsoon,Night,West,West,Agriculture,Road,Fog,Perishable,91.81,215.49,Delayed
26405,2016-08-22 00:28:20.369003696,Monsoon,Night,West,South,FMCG,Sea,Clear,Fragile,88.41,156.58,On Time
26406,2016-08-22 01:20:54.864548656,Monsoon,Night,North,East,FMCG,Road,Clear,Perishable,85.57,231.03,On Time
26407,2016-08-22 02:13:29.360093600,Monsoon,Night,West,East,Pharma,Road,Clear,Fragile,83.42,236.91,Cancelled
26408,2016-08-22 03:06:03.855638560,Monsoon,Night,South,East,Pharma,Air,Clear,Fragile,70.04,422.3,On Time
26409,2016-08-22 03:58:38.351183520,Monsoon,Night,East,North,Agriculture,Rail,Storm,Hazardous,69.72,226.24,Delayed
26410,2016-08-22 04:51:12.846728464,Monsoon,Night,North,Central,FMCG,Sea,Clear,Perishable,66.37,207.81,Delayed
26411,2016-08-22 05:43:47.342273424,Monsoon,Morning,East,Central,Electronics,Rail,Clear,Fragile,98.57,160.69,On Time
26412,2016-08-22 06:36:21.837818384,Monsoon,Morning,South,South,Electronics,Air,Clear,Perishable,90.11,329.27,On Time
26413,2016-08-22 07:28:56.333363344,Monsoon,Morning,East,East,FMCG,Rail,Rain,Hazardous,58.11,270.68,On Time
26414,2016-08-22 08:21:30.828908288,Monsoon,Morning,West,East,Automobile,Sea,Clear,Perishable,68.83,200.49,On Time
